# Emission @ 500 nm [W*m^-2*sr^-1*nm^-1]
# Column format:
# Emission angle [deg]	C+	C+.s	C+.p	
0.000000E0	3.034606E0	1.517303E0	1.517303E0
4.517588E-1	3.034547E0	1.517334E0	1.517212E0
9.035176E-1	3.034368E0	1.517428E0	1.516940E0
1.355276E0	3.034069E0	1.517584E0	1.516485E0
1.807035E0	3.033652E0	1.517804E0	1.515848E0
2.258794E0	3.033115E0	1.518086E0	1.515029E0
2.710553E0	3.032459E0	1.518431E0	1.514028E0
3.162312E0	3.031684E0	1.518840E0	1.512844E0
3.614070E0	3.030790E0	1.519313E0	1.511478E0
4.065829E0	3.029778E0	1.519850E0	1.509928E0
4.517588E0	3.028647E0	1.520452E0	1.508195E0
4.969347E0	3.027398E0	1.521120E0	1.506278E0
5.421106E0	3.026031E0	1.521855E0	1.504177E0
5.872864E0	3.024546E0	1.522656E0	1.501890E0
6.324623E0	3.022944E0	1.523525E0	1.499419E0
6.776382E0	3.021225E0	1.524463E0	1.496762E0
7.228141E0	3.019388E0	1.525470E0	1.493918E0
7.679899E0	3.017436E0	1.526549E0	1.490887E0
8.131658E0	3.015367E0	1.527699E0	1.487668E0
8.583417E0	3.013183E0	1.528922E0	1.484261E0
9.035176E0	3.010884E0	1.530220E0	1.480664E0
9.486935E0	3.008471E0	1.531594E0	1.476877E0
9.938693E0	3.005943E0	1.533045E0	1.472898E0
1.039045E1	3.003303E0	1.534575E0	1.468728E0
1.084221E1	3.000549E0	1.536185E0	1.464364E0
1.129397E1	2.997684E0	1.537878E0	1.459806E0
1.174573E1	2.994708E0	1.539655E0	1.455053E0
1.219749E1	2.991622E0	1.541519E0	1.450103E0
1.264925E1	2.988426E0	1.543471E0	1.444955E0
1.310101E1	2.985122E0	1.545514E0	1.439607E0
1.355276E1	2.981710E0	1.547651E0	1.434059E0
1.400452E1	2.978192E0	1.549883E0	1.428309E0
1.445628E1	2.974569E0	1.552214E0	1.422355E0
1.490804E1	2.970843E0	1.554647E0	1.416196E0
1.535980E1	2.967014E0	1.557184E0	1.409830E0
1.581156E1	2.963084E0	1.559829E0	1.403255E0
1.626332E1	2.959054E0	1.562586E0	1.396469E0
1.671508E1	2.954927E0	1.565457E0	1.389470E0
1.716683E1	2.950704E0	1.568448E0	1.382256E0
1.761859E1	2.946387E0	1.571562E0	1.374825E0
1.807035E1	2.941978E0	1.574804E0	1.367175E0
1.852211E1	2.937480E0	1.578178E0	1.359302E0
1.897387E1	2.932894E0	1.581689E0	1.351205E0
1.942563E1	2.928224E0	1.585343E0	1.342880E0
1.987739E1	2.923472E0	1.589146E0	1.334326E0
2.032915E1	2.918640E0	1.593103E0	1.325538E0
2.078090E1	2.913734E0	1.597220E0	1.316513E0
2.123266E1	2.908755E0	1.601506E0	1.307249E0
2.168442E1	2.903707E0	1.605966E0	1.297741E0
2.213618E1	2.898596E0	1.610610E0	1.287986E0
2.258794E1	2.893424E0	1.615444E0	1.277979E0
2.303970E1	2.888197E0	1.620480E0	1.267717E0
2.349146E1	2.882919E0	1.625725E0	1.257195E0
2.394322E1	2.877598E0	1.631190E0	1.246407E0
2.439497E1	2.872237E0	1.636888E0	1.235349E0
2.484673E1	2.866844E0	1.642829E0	1.224016E0
2.529849E1	2.861427E0	1.649026E0	1.212401E0
2.575025E1	2.855992E0	1.655495E0	1.200497E0
2.620201E1	2.850549E0	1.662249E0	1.188299E0
2.665377E1	2.845106E0	1.669306E0	1.175800E0
2.710553E1	2.839674E0	1.676684E0	1.162990E0
2.755729E1	2.834264E0	1.684402E0	1.149862E0
2.800905E1	2.828889E0	1.692482E0	1.136407E0
2.846080E1	2.823561E0	1.700946E0	1.122615E0
2.891256E1	2.818297E0	1.709822E0	1.108475E0
2.936432E1	2.813112E0	1.719136E0	1.093976E0
2.981608E1	2.808026E0	1.728921E0	1.079106E0
3.026784E1	2.803060E0	1.739210E0	1.063850E0
3.071960E1	2.798237E0	1.750043E0	1.048194E0
3.117136E1	2.793583E0	1.761462E0	1.032121E0
3.162312E1	2.789129E0	1.773515E0	1.015614E0
3.207487E1	2.784908E0	1.786256E0	9.986520E-1
3.252663E1	2.780960E0	1.799746E0	9.812138E-1
3.297839E1	2.777330E0	1.814055E0	9.632750E-1
3.343015E1	2.774069E0	1.829260E0	9.448086E-1
3.388191E1	2.771239E0	1.845454E0	9.257845E-1
3.433367E1	2.768911E0	1.862742E0	9.061691E-1
3.478543E1	2.767170E0	1.881245E0	8.859246E-1
3.523719E1	2.766118E0	1.901109E0	8.650086E-1
3.568894E1	2.765879E0	1.922505E0	8.433732E-1
3.614070E1	2.766604E0	1.945640E0	8.209643E-1
3.659246E1	2.768484E0	1.970763E0	7.977206E-1
3.704422E1	2.771758E0	1.998185E0	7.735732E-1
3.749598E1	2.776741E0	2.028296E0	7.484444E-1
3.794774E1	2.783844E0	2.061596E0	7.222482E-1
3.839950E1	2.793637E0	2.098745E0	6.948921E-1
3.885126E1	2.806921E0	2.140639E0	6.662828E-1
