# Emission @ 500 nm [W*m^-2*sr^-1*nm^-1]
# Column format:
# Emission angle [deg]	C+	C+.s	C+.p	
0.000000E0	0.000000E0	0.000000E0	0.000000E0
4.517588E-1	8.289245E-5	0.000000E0	8.289245E-5
9.035176E-1	3.315392E-4	0.000000E0	3.315392E-4
1.355276E0	7.458484E-4	0.000000E0	7.458484E-4
1.807035E0	1.325668E-3	0.000000E0	1.325668E-3
2.258794E0	2.070783E-3	0.000000E0	2.070783E-3
2.710553E0	2.980923E-3	0.000000E0	2.980923E-3
3.162312E0	4.055753E-3	0.000000E0	4.055753E-3
3.614070E0	5.294883E-3	0.000000E0	5.294883E-3
4.065829E0	6.697865E-3	0.000000E0	6.697865E-3
4.517588E0	8.264194E-3	0.000000E0	8.264194E-3
4.969347E0	9.993311E-3	0.000000E0	9.993311E-3
5.421106E0	1.188460E-2	0.000000E0	1.188460E-2
5.872864E0	1.393741E-2	0.000000E0	1.393741E-2
6.324623E0	1.615101E-2	0.000000E0	1.615101E-2
6.776382E0	1.852464E-2	0.000000E0	1.852464E-2
7.228141E0	2.105751E-2	0.000000E0	2.105751E-2
7.679899E0	2.374875E-2	0.000000E0	2.374875E-2
8.131658E0	2.659748E-2	0.000000E0	2.659748E-2
8.583417E0	2.960278E-2	0.000000E0	2.960278E-2
9.035176E0	3.276367E-2	0.000000E0	3.276367E-2
9.486935E0	3.607918E-2	0.000000E0	3.607918E-2
9.938693E0	3.954828E-2	0.000000E0	3.954828E-2
1.039045E1	4.316993E-2	0.000000E0	4.316993E-2
1.084221E1	4.694307E-2	0.000000E0	4.694307E-2
1.129397E1	5.086664E-2	0.000000E0	5.086664E-2
1.174573E1	5.493954E-2	0.000000E0	5.493954E-2
1.219749E1	5.916070E-2	0.000000E0	5.916070E-2
1.264925E1	6.352902E-2	0.000000E0	6.352902E-2
1.310101E1	6.804345E-2	0.000000E0	6.804345E-2
1.355276E1	7.270292E-2	0.000000E0	7.270292E-2
1.400452E1	7.750639E-2	0.000000E0	7.750639E-2
1.445628E1	8.245286E-2	0.000000E0	8.245286E-2
1.490804E1	8.754136E-2	0.000000E0	8.754136E-2
1.535980E1	9.277099E-2	0.000000E0	9.277099E-2
1.581156E1	9.814087E-2	0.000000E0	9.814087E-2
1.626332E1	1.036502E-1	0.000000E0	1.036502E-1
1.671508E1	1.092983E-1	0.000000E0	1.092983E-1
1.716683E1	1.150846E-1	0.000000E0	1.150846E-1
1.761859E1	1.210084E-1	0.000000E0	1.210084E-1
1.807035E1	1.270695E-1	0.000000E0	1.270695E-1
1.852211E1	1.332677E-1	0.000000E0	1.332677E-1
1.897387E1	1.396027E-1	0.000000E0	1.396027E-1
1.942563E1	1.460747E-1	0.000000E0	1.460747E-1
1.987739E1	1.526839E-1	0.000000E0	1.526839E-1
2.032915E1	1.594309E-1	0.000000E0	1.594309E-1
2.078090E1	1.663165E-1	0.000000E0	1.663165E-1
